sampleid	genus	species_river	species_waveform	species	locality	river	sex	SL	parasite	waveformtype	primerset	both_primersets	seq_plate	main_river	seq_run	code2
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical categorical numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
45	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	98	no	BP	mlCOIintF + BR2	yes	1	mengono	1	45
412	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	100	yes	TP	mlCOIintF + BR2	yes	1	apassa	1	412
316	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae TP	P. kingsleyae	2019-022	bambomo	female	72	no	TP	mlCOIintF + BR2	yes	1	bambomo	1	316
276	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	90	no	TP	mlCOIintF + BR2	yes	1	apassa	1	276
365	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	70	no	BP	mlCOIintF + BR2	yes	1	bambomo	1	365
45BP	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	98	no	BP	mlCOIintF + BR2	yes	1	mengono	1	45BP
412BP	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	100	yes	TP	mlCOIintF + BR2	yes	1	apassa	1	412BP
316BP	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae TP	P. kingsleyae	2019-022	bambomo	female	72	no	TP	mlCOIintF + BR2	yes	1	bambomo	1	316BP
276BP	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	90	no	TP	mlCOIintF + BR2	yes	1	apassa	1	276BP
365BP	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	70	no	BP	mlCOIintF + BR2	yes	1	bambomo	1	365BP
365_rep1	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	70	no	BP	mlCOIintF + BR2	yes	1	bambomo	1	365_rep1
365_rep2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	70	no	BP	mlCOIintF + BR2	yes	1	bambomo	1	365_rep2
