sampleid	genus	species_river	species_waveformtype	species	locality	river	sex	SL	parasite	waveformtype	primerset	both_primersets	seq_plate	main_river	seq_run	code2
156BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	72	0	BP	BF2+BR1	yes	2	bambomo	2	156BF2
311BF2	Paramormyrops	P. kingsleyae bambomo_3rivers	P. kingsleyae BP	P. kingsleyae	2019-022	bambomo_3rivers	male	106	0	BP	BF2+BR1	yes	2	bambomo	2	311BF2
407BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	79	0	TP	BF2+BR1	yes	2	apassa	2	407BF2
408BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	84	1	TP	BF2+BR1	yes	2	apassa	2	408BF2
451BF2	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	female	63	NA	TP	BF2+BR1	yes	2	bale	2	451BF2
478BF2	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	38	NA	TP	BF2+BR1	yes	2	bale	2	478BF2
101BF2	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	106	0	TP	BF2+BR1	yes	2	iboundji	2	101BF2
112BF2	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	78	0	TP	BF2+BR1	yes	2	iboundji	2	112BF2
115BF2	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	131	0	BP	BF2+BR1	yes	2	mengono	2	115BF2
118BF2	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	100	0	BP	BF2+BR1	yes	2	mengono	2	118BF2
411BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	96	0	TP	BF2+BR1	yes	2	apassa	2	411BF2
278BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	90	0	TP	BF2+BR1	yes	2	apassa	2	278BF2
4BF2	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	106	0	TP	BF2+BR1	yes	2	iboundji	2	4BF2
150BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	105	0	BP	BF2+BR1	yes	2	bambomo	2	150BF2
